Source_idx,top20_mean_energy,Smiles
118324,-12.48395,O=C1CC(c2ccc(Oc3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3O)cc2)Oc2cc(O)cc(O)c21
113955,-12.44745,COc1ccc(-c2cc(=O)c3c(OC)c(Oc4ccc(-c5cc(=O)c6c(OC)cc(OC)cc6o5)cc4)c(OC)cc3o2)cc1
202040,-12.151699999999998,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12
45969,-12.121,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2-c2cc(-c3cc(=O)c4c(O)cc(OC)cc4o3)ccc2O)cc1
125077,-12.0628,COc1ccc(-c2cc(=O)c3cc(O)c(-c4c(-c5ccc(O)cc5)oc5cc(OC)cc(O)c5c4=O)c(OC)c3o2)cc1
241775,-12.003749999999998,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1
149692,-11.981950000000001,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12
185209,-11.8848,COc1ccc(-c2cc(=O)c3c(O)c4c(c(-c5cc(-c6cc(=O)c7c(O)cc(OC)cc7o6)ccc5O)c3o2)OC(C)(C)C=C4)cc1
197218,-11.864450000000001,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4O)c3o2)cc1
93856,-11.86145,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1-c1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
183683,-11.8353,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1
244600,-11.8347,COc1ccc(-c2cc(=O)c3c(O)c4c(c(-c5cc(-c6cc(=O)c7c(O)cc(OC)cc7o6)ccc5OC)c3o2)OC(C)(C)C=C4)cc1
66133,-11.7972,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1
130365,-11.75845,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12
156969,-11.71595,COc1cc(O)c2c(=O)c(-c3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3OC)c(-c3ccc(O)cc3)oc2c1
53416,-11.7002,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1
42039,-11.654400000000003,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1
139833,-11.64945,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1
61327,-11.634650000000002,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O
217958,-11.61825,COc1ccc(CCNC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)cc1
